EXPOSED,N,N_MALE,N_FEMALE,MEDIAN_AGE_AT_2016,MEDIAN_FIRST_CT_AGE,MEDIAN_AGE_AT_DIAGNOSIS,N_MALIGNANCY,INCIDENCE_RATE_K_PM,N_METRO,N_NONMETRO,N_NA_URBAN
FALSE,3996026,2060995,1935031,10,NA,17,3087,0.010738314810555332,1085995,2378676,531355
TRUE,198167,118881,79286,11,14,20,253,0.0339965668709324,52219,114953,30995
