MALIGNANCY_TYPE,N_EVENT_FALSE,N_EVENT_TRUE,N_TOTAL_TRUE,N_TOTAL_FALSE,RR
bone,133,10,198167,3996026,1.5161610293679921
brain_and_cns,294,23,198167,3996026,1.5775294519852683
breast_and_female,190,20,198167,3996026,2.122625441115189
chest_and_lung,53,17,198167,3996026,6.468000164907605
cnt,257,24,198167,3996026,1.8831073952305957
endocrine,421,21,198167,3996026,1.0058521983431834
head_and_neck,181,18,198167,3996026,2.00535331729667
intestinal,131,19,198167,3996026,2.924686199399173
lymphoma_and_leukemia,1149,74,198167,3996026,1.2986994648424526
other_malignant,143,10,198167,3996026,1.4101357825590417
urinary_and_fertile,135,17,198167,3996026,2.539288953630393
