term,estimate,std.error,statistic,p.value,conf.low,conf.high,MODEL
"FIRST_CT_AGE_GROUP(15,18]",1.4134629207859557,0.15954848198129837,2.1688872329632285,0.03009124625575532,1.0338951691404266,1.9323791116054703,study1_first_ct_age_group_tv
"FIRST_CT_AGE_GROUP(5,10]",0.527293823863886,0.263866876016682,-2.4254554225654665,0.015289193293383416,0.314375571896515,0.8844159710237367,study1_first_ct_age_group_tv
"FIRST_CT_AGE_GROUP[0,5]",0.2832292525971855,0.35805645494132615,-3.5231835986157405,4.263958724163479e-4,0.14039766963845685,0.5713685257977195,study1_first_ct_age_group_tv
SEXMale,0.6724461489308915,0.13949303091866783,-2.8448248922411237,0.004443584378066763,0.5115885637860931,0.8838818050691514,study1_first_ct_age_group_tv
INCOME_QQ2,1.5855253807510252,0.3054407696249135,1.5090186666188146,0.13129401257092763,0.8713277467988522,2.8851264547024926,study1_first_ct_age_group_tv
INCOME_QQ3,0.9392286272528995,0.18387920750529146,-0.3409648690477321,0.7331300291076043,0.6550177305811088,1.3467580693865386,study1_first_ct_age_group_tv
INCOME_QQ4,1.1980752572788052,0.17309664903576372,1.0440197301588598,0.2964762613388341,0.8533829552899251,1.6819931933325563,study1_first_ct_age_group_tv
URBAN_STATUSNon-Metro,1.443013734659396,0.16525307365358466,2.2192252753113086,0.026471402353605317,1.043774766390088,1.99495974176238,study1_first_ct_age_group_tv
