AGE_AT_DIAGNOSIS_GROUP,N_FALSE,N_TRUE,PCT_EXPOSED
0-5,5,10,66.66666666666666
11-15,20,36,64.28571428571429
16-20,22,93,80.8695652173913
21+,15,104,87.39495798319328
6-10,9,13,59.09090909090909
