STRATUM_VAR,STRATUM,N_EVENT_TRUE,N_TOTAL_TRUE,N_EVENT_FALSE,N_TOTAL_FALSE,RISK_E,RISK_U,RR,RR_LCI,RR_UCI
FIRST_CT_SETTING,Clinic,80,57178,0,0,0.0013991395291895485,NA,NA,NA,NA
FIRST_CT_SETTING,ER,176,164917,0,0,0.0010672035023678577,NA,NA,NA,NA
FIRST_CT_SETTING,Unexposed,0,0,71,156587,NA,4.534220593024964e-4,NA,NA,NA
