STRATUM_VAR,STRATUM,N_EVENT_TRUE,N_TOTAL_TRUE,N_EVENT_FALSE,N_TOTAL_FALSE,RISK_E,RISK_U,RR,RR_LCI,RR_UCI
INCOME_Q,Missing,54,41437,8,29736,0.0013031831454979848,2.690341673392521e-4,4.84393175181601,2.3056276722109987,10.176697260816034
INCOME_Q,Q1,94,91483,34,61508,0.0010275133084835435,5.52773622943357e-4,1.8588320170060528,1.2558796938662913,2.751263902364408
INCOME_Q,Q2,23,11314,5,7428,0.0020328796181721762,6.731287022078621e-4,3.020045960756585,1.1486440376749427,7.9403864956666785
INCOME_Q,Q3,31,40970,11,29774,7.566512082011228e-4,3.694498555786928e-4,2.048048461180021,1.029613855161265,4.073859805125563
INCOME_Q,Q4,54,36891,13,28141,0.001463771651622347,4.619594186418393e-4,3.168615234484959,1.729752592097656,5.804369104621258
