STRATUM_VAR,STRATUM,N_EVENT_TRUE,N_TOTAL_TRUE,N_EVENT_FALSE,N_TOTAL_FALSE,RISK_E,RISK_U,RR,RR_LCI,RR_UCI
URBAN_STATUS,Metro,54,55763,22,39673,9.683840539425785e-4,5.545333098076777e-4,1.7463045714574508,1.0638860351003092,2.866453318945632
URBAN_STATUS,Missing,55,42380,9,30420,0.0012977819726285983,2.958579881656805e-4,4.386503067484663,2.1682549491462737,8.874145159280486
URBAN_STATUS,Non-Metro,147,123952,40,86494,0.0011859429456563832,4.6245982380280714e-4,2.5644237285400804,1.8081580037394054,3.6369991150658265
