term,estimate,std.error,statistic,p.value,conf.low,conf.high,MODEL
EXPOSEDTRUE,1.9884882979879865,0.1666641902696947,4.124309485391728,3.718486295704337e-5,1.4343601917273974,2.756689521948641,study2_sibling_matched_strata_pair
SEXMale,0.9658009310254133,0.2261818636407371,-0.15384762062277255,0.8777298849517207,0.6199565721961673,1.5045754496403767,study2_sibling_matched_strata_pair
AGE_AT_INDEX,1.0973925534966242,0.0391023847288398,2.3767593888969754,0.017465476718265337,1.0164312261075275,1.1848026561341025,study2_sibling_matched_strata_pair
INCOME_QQ2,8548254.929555269,3808.2443493326923,0.004191232561290815,0.9966558900392939,0,Inf,study2_sibling_matched_strata_pair
INCOME_QQ3,0.2720120550941968,1.375744746749818,-0.9463302669661239,0.34398016035370804,0.018346452470700034,4.032962679555301,study2_sibling_matched_strata_pair
INCOME_QQ4,0.34918000272794214,2.084497227232915,-0.5047585138838466,0.6137284574116817,0.005871135551429358,20.767136653045267,study2_sibling_matched_strata_pair
URBAN_STATUSNon-Metro,0.5725691526489249,2.042114276451467,-0.2730609969409586,0.784806327679134,0.010461094445110333,31.3385407507092,study2_sibling_matched_strata_pair
