TERM,CHISQ,DF,P_VALUE
EXPOSED_TV,0.14254595182672364,1,0.7057629961114785
SEX,9.379433050549034,1,0.002194334068747939
AGE_AT_2016,32.43915413164336,1,1.2298342419608773e-8
INCOME_Q,3.561146252042378,3,0.3129178193411806
URBAN_STATUS,0.705530763269079,1,0.4009314947365653
GLOBAL,45.50346848866559,7,1.0918682590541079e-7
