STRATUM_VAR,STRATUM,N_ROWS,N_EVENT,HR,HR_LCI,HR_UCI,P_VALUE,NOTE
SEX,Female,2093575,1687,3.421992157984124,2.792554538357141,4.193304076415227,1.8591950968682114e-32,NA
SEX,Male,2298706,1653,2.7957148553174007,2.2843503122485047,3.421551200064854,1.9606730825199747e-23,NA
