EXPOSED,N,N_PAIRS,N_MALE,N_FEMALE,MEDIAN_AGE_AT_2016,MEDIAN_FIRST_CT_AGE,MEDIAN_AGE_AT_DIAGNOSIS,N_MALIGNANCY,INCIDENCE_RATE_K_PM
FALSE,156587,156587,78717,77870,8,NA,16,71,0.012110230816297305
TRUE,222095,214590,130118,91977,11,14,20,256,0.03137400938843893
