Study,Characteristic,Category,Overall,Exposed,Unexposed,SMD,P_value
Study 1 (Population),,21+,950 (28.4%),110 (43.5%),840 (27.2%),,
Study 1 (Population),,6-10,550 (16.5%),12 (4.7%),538 (17.4%),,
Study 1 (Population),Income quartile,Missing,"561,478 (13.4%)","30,132 (15.2%)","531,346 (13.3%)",0.163,<0.001
Study 1 (Population),,Q1,"1,620,285 (38.6%)","79,877 (40.3%)","1,540,408 (38.5%)",,
Study 1 (Population),,Q2,"138,780 (3.3%)","10,624 (5.4%)","128,156 (3.2%)",,
Study 1 (Population),,Q3,"928,642 (22.1%)","39,983 (20.2%)","888,659 (22.2%)",,
Study 1 (Population),,Q4,"945,008 (22.5%)","37,551 (18.9%)","907,457 (22.7%)",,
Study 1 (Population),Urban status,Metro,"1,138,214 (27.1%)","52,219 (26.4%)","1,085,995 (27.2%)",0.076,<0.001
Study 1 (Population),,Missing,"562,350 (13.4%)","30,995 (15.6%)","531,355 (13.3%)",,
Study 1 (Population),,Non-Metro,"2,493,629 (59.5%)","114,953 (58.0%)","2,378,676 (59.5%)",,
Study 1 (Population),CT setting at first scan (exposed only),Clinic,"54,046 (27.3%)","54,046 (27.3%)",0 (0.0%),,
Study 1 (Population),,ER,"144,121 (72.7%)","144,121 (72.7%)",0 (0.0%),,
Study 1 (Population),First CT type (exposed only),body_type,"198,167 (100.0%)","198,167 (100.0%)",0 (0.0%),,
Study 1 (Population),Number of CT scans (exposed only),>=4,"4,842 (2.4%)","4,842 (2.4%)",0 (0.0%),,
Study 1 (Population),,1,"156,338 (78.9%)","156,338 (78.9%)",0 (0.0%),,
Study 1 (Population),,2-3,"36,987 (18.7%)","36,987 (18.7%)",0 (0.0%),,
Study 1 (Population),Malignancy events,,"3,340 (0.08%)",253 (0.13%),"3,087 (0.08%)",,
Study 2 (Sibling-Matched),Total participants,,"378,682","222,095","156,587",,
Study 2 (Sibling-Matched),Person-years of follow-up,,"1,168,536","679,968","488,568",,
Study 2 (Sibling-Matched),Follow-up time (months),Median [IQR],"37.7 [19.4, 54.6]","37.3 [19.1, 54.2]","38.2 [19.7, 55.1]",0.034,<0.001
Study 2 (Sibling-Matched),Sex,Female,"169,847 (44.9%)","91,977 (41.4%)","77,870 (49.7%)",0.236,<0.001
