Study,EXPOSED,N_persons,N_events,PY,IR_per_100k,IR_LCI,IR_UCI
Study 1 (Population),FALSE,3996026,3087,23956272.89182597,12.885977772666395,12.435378058326013,13.3487325449588
Study 1 (Population),TRUE,198167,253,620160.6595564776,40.79588024511888,35.92336064897068,46.14494398035033
Study 2 (Sibling-Matched),FALSE,156587,71,488567.62157698354,14.532276979556768,11.349828888683634,18.3304900185632
Study 2 (Sibling-Matched),TRUE,222095,256,679968.3479789642,37.648811266126714,33.17775050341165,42.55444875779653
