STRATUM_VAR,STRATUM,N_EVENT_TRUE,N_TOTAL_TRUE,N_EVENT_FALSE,N_TOTAL_FALSE,RISK_E,RISK_U,RR,RR_LCI,RR_UCI
AGE_GROUP,"(10,15]",71,65113,16,50685,0.0010904120528926636,3.1567524908750124e-4,3.454220931304041,2.0083483201249286,5.941022342935388
AGE_GROUP,"(15,18]",144,81279,22,30169,0.0017716753404938546,7.292253637840167e-4,2.429530606698141,1.5515159914158452,3.80442032279446
AGE_GROUP,"(5,10]",24,37708,22,40196,6.364697146494112e-4,5.473181411085681e-4,1.1628880295476243,0.652175054675236,2.0735361764772895
AGE_GROUP,"[0,5]",17,37995,11,35537,4.4742729306487697e-4,3.0953653938148973e-4,1.4454748830587756,0.6771570672802472,3.0855435740273633
