TERM,CHISQ,P_VALUE
EXPOSED,0.863896661,0.352650531
SEX,5.214175789,0.022403464
AGE_AT_INDEX,36.65554304,1.41E-09
INCOME_Q,2.766115309,0.429108359
URBAN_STATUS,0.248925533,0.617832661
GLOBAL,45.20676903,1.25E-07
