term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),6.375018253548656e-4,0.052861378720544826,-139.19336944524943,0,5.743474643740772e-4,7.065918281879396e-4
EXPOSEDTRUE,1.4311177414380973,0.07272469662843281,4.928941514230691,8.267631750375029e-7,1.2374216750406999,1.6458420384833965
SEXMale,0.9113611156269159,0.036068520384554166,-2.573326116947213,0.01007262467670887,0.849151662899071,0.978126035128536
AGE_AT_INDEX,1.0284547942019806,0.003112047908640288,9.015759665299495,1.9551067655319968e-19,1.0222123326629835,1.0347595404675245
INCOME_QQ2,1.0228697808286393,0.09297798581797152,0.2431993681160888,0.8078509563406149,0.8483884465426947,1.2218436559434414
INCOME_QQ3,0.9480871056807286,0.04518332189823067,-1.179835724313672,0.23806555799397344,0.8673576056382345,1.0354551508800953
INCOME_QQ4,0.9467815354165093,0.044946935116750575,-1.2166992807266557,0.2237186528423156,0.8665701557897557,1.0335567808756043
URBAN_STATUSNon-Metro,1.0445934883954164,0.03929076055635124,1.1103832757688847,0.26683390183179284,0.9675345035775004,1.1286617416994988
