term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),6.315303097814858e-4,4.1326201700596794e-5,15.281595786538636,1.0179521704977902e-52,5.505324169423513e-4,7.125282026206203e-4
EXPOSEDTRUE,3.722412027700073e-4,7.17291531240543e-5,5.189538514782444,2.1082673091140598e-7,2.3165460107174094e-4,5.128278044682737e-4
SEXMale,-7.563208152125369e-5,2.935496356620724e-5,-2.576466543747294,0.009981623968196233,-1.3316677126744479e-4,-1.8097391775062607e-5
AGE_AT_INDEX,2.2463553007787883e-5,2.48482130544127e-6,9.040309240184444,1.562997994561917e-19,1.7593391184529304e-5,2.733371483104646e-5
INCOME_QQ2,1.986999603671241e-5,7.857828333444406e-5,0.25286879775856064,0.8003696155267983,-1.341406584898693e-4,1.7388065056329414e-4
INCOME_QQ3,-4.4171509261252066e-5,3.645333005723828e-5,-1.2117276855610957,0.22561671324894655,-1.1561874612558618e-4,2.7275727603082052e-5
INCOME_QQ4,-4.659404287182302e-5,3.6360229816859286e-5,-1.281456225840976,0.20003354442524926,-1.1785880655974115e-4,2.4670720816095098e-5
URBAN_STATUSNon-Metro,3.525296670565564e-5,3.1647628969184654e-5,1.1139212589979965,0.2653130390268513,-2.677526609517515e-5,9.728119950648642e-5
